Feature,Importance
duration,0.29935823393721245
euribor3m,0.09531170661785579
age,0.08641776885915008
nr.employed,0.053030445066839065
campaign,0.04186342785585655
pdays,0.029677060410971533
cons.conf.idx,0.0289551341101854
poutcome_success,0.024109450765303166
emp.var.rate,0.023570632224000198
cons.price.idx,0.02147232633033787
housing_yes,0.01986521382445518
previous,0.014037090287167401
loan_yes,0.013624756492495749
marital_married,0.012831190110137213
education_university.degree,0.012734049406791941
day_of_week_wed,0.012299471464548862
day_of_week_mon,0.012116780348342454
day_of_week_thu,0.011894323445319125
marital_single,0.011781671613283732
education_high.school,0.01165268292605134
day_of_week_tue,0.011602307979700757
job_technician,0.011069949281082599
contact_telephone,0.01050767980968174
job_blue-collar,0.008916527732086352
education_professional.course,0.008870290617160796
default_unknown,0.00880819797033905
poutcome_nonexistent,0.008573946979428836
education_basic.9y,0.00821431723916031
job_management,0.007313575088779765
job_services,0.007033570743309989
job_retired,0.006171536150155884
education_unknown,0.005374260704300559
month_may,0.005214313711096506
month_oct,0.005070562816889797
job_self-employed,0.004753493540120974
education_basic.6y,0.004591184040421625
job_student,0.004476173142199832
job_entrepreneur,0.004175600972715144
month_mar,0.004055838885407877
job_unemployed,0.0038057076902114537
job_housemaid,0.0036757433132481197
month_aug,0.0027559832350323474
month_jul,0.0026821077864571394
month_jun,0.0025849716525193204
housing_unknown,0.002580693893869641
month_sep,0.0024397221342418495
loan_unknown,0.002421339918767086
month_nov,0.002125455085550613
job_unknown,0.0019221236620679354
month_dec,0.0007440085420690355
marital_unknown,0.0005787752467629784
education_illiterate,0.0002865965435670238
default_yes,2.7795292080990364e-08
